batch,acc
0,0.99609375
1,0.9609375
2,0.97265625
3,0.98046875
4,0.96484375
5,0.9765625
6,0.97265625
7,0.984375
8,0.96484375
9,0.96875
10,0.984375
11,0.9609375
12,0.9921875
13,0.9609375
14,0.984375
15,0.98046875
16,0.9609375
17,0.96484375
18,0.984375
19,0.9921875
20,0.9921875
21,1.0
22,0.99609375
23,0.98046875
24,1.0
25,0.96875
26,0.99609375
27,1.0
28,1.0
29,0.99609375
30,0.99609375
31,0.98046875
32,0.99609375
33,1.0
34,1.0
35,1.0
36,1.0
37,0.96875
38,0.95703125
39,1.0
