batch,acc
0,0.9921875
1,0.97265625
2,0.9765625
3,0.9921875
4,0.9765625
5,0.98046875
6,0.984375
7,0.98046875
8,0.9609375
9,0.97265625
10,0.98046875
11,0.97265625
12,0.9921875
13,0.9765625
14,0.984375
15,0.984375
16,0.9765625
17,0.98046875
18,0.984375
19,0.984375
20,1.0
21,1.0
22,0.98828125
23,0.984375
24,0.99609375
25,0.97265625
26,0.99609375
27,0.99609375
28,0.99609375
29,0.99609375
30,0.99609375
31,0.9921875
32,0.98828125
33,1.0
34,1.0
35,1.0
36,1.0
37,0.9609375
38,0.95703125
39,1.0
